PROV,EDAD,SEXO,ECIV,NAC,EXREGNA,ANORE,NFORMA,OCUP,SITU,DUCON1,DCOM,PARCO1,HORASP,DISP,RZNDIS,DTANT,ITBU,OCUPA,OFEMP,SIDAC1
Álava,de 45 A 49 años,Mujer,Soltero,Española,NA,NA,Educación superior,Técnicos y Profesionales de apoyo (códigos CNO-2011),Asalariado sector privado,Indefinido,158,Completa,37.5,NA,NA,NA,NA,NA,No estaba inscrito como demandante,NA
Álava,de 60 A 64 años,Mujer,Soltero,Española,NA,NA,Educación superior,Técnicos y Profesionales científicos e intelectuales (códigos CNO-2011),Asalariado sector público,Indefinido,473,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 60 A 64 años,Mujer,Soltero,Española,NA,NA,Educación superior,Técnicos y Profesionales científicos e intelectuales (códigos CNO-2011),Asalariado sector público,Indefinido,360,Completa,37.5,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 45 A 49 años,Varón,Casado,Española,NA,NA,Educación superior,Técnicos y Profesionales de apoyo (códigos CNO-2011),Asalariado sector privado,Indefinido,200,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 45 A 49 años,Mujer,Casado,Española,NA,NA,Educación superior,Técnicos y Profesionales científicos e intelectuales (códigos CNO-2011),Asalariado sector privado,Indefinido,201,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 10 A 15 años,Mujer,NA,Española,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Álava,de 10 A 15 años,Mujer,NA,Española,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Álava,de 60 A 64 años,Varón,Casado,Española,NA,NA,Educación superior,"Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria (códigos CNO-2011). Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto operadores de instalaciones y maquinaria (códigos CNO-1994)  ",Asalariado sector privado,Indefinido,208,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 50 A 54 años,Mujer,Casado,Española,NA,NA,Educación superior,"Empleados contables, administrativos y otros empleados de oficina (códigos CNO-2011). Empleados de tipo administrativo (códigos CNO-1994)",Asalariado sector privado,Indefinido,336,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 25 A 29 años,Mujer,Soltero,Española,NA,NA,Educación superior,NA,NA,NA,NA,NA,NA,Sí,NA,1,NA,Técnicos y Profesionales científicos e intelectuales (códigos CNO-2011),No estaba inscrito como demandante,NA
Álava,de 20 A 24 años,Mujer,Soltero,Española,NA,NA,"Segunda etapa de educación secundaria, orientación general",NA,NA,NA,NA,NA,NA,No,Tener que completar estudios o formación,NA,NA,NA,No estaba inscrito como demandante,NA
Álava,de 55 A 59 años,Varón,Casado,Española,NA,NA,Primera etapa de educación secundaria,NA,NA,NA,NA,NA,NA,No,Tener responsabilidades familiares o razones personales,16,De 1 año y medio a < 2 años ,NA,Estaba inscrito como demandante y recibía algún tipo de prestación,Buscando empleo
Álava,de 55 A 59 años,Mujer,Casado,Española,NA,NA,Educación superior,Técnicos y Profesionales de apoyo (códigos CNO-2011),Asalariado sector público,Indefinido,364,Completa,37.5,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 25 A 29 años,Varón,Soltero,Española,NA,NA,Educación superior,NA,NA,NA,NA,NA,NA,Sí,NA,0,Menos de 1 mes,Técnicos y Profesionales de apoyo (códigos CNO-2011),No estaba inscrito como demandante,Trabajando
Álava,de 16 A 19 años,Varón,Soltero,Española,NA,NA,"Segunda etapa de educación secundaria, orientación general",NA,NA,NA,NA,NA,NA,No,Tener que completar estudios o formación,NA,NA,NA,No estaba inscrito como demandante,NA
Álava,de 60 A 64 años,Varón,Casado,Española,NA,NA,Primera etapa de educación secundaria,NA,NA,NA,NA,NA,NA,No,Por otras razones,18,NA,NA,No estaba inscrito como demandante,NA
Álava,de 55 A 59 años,Mujer,Casado,Española,NA,NA,Primera etapa de educación secundaria,Ocupaciones elementales (códigos CNO-2011). Trabajadores no cualificados (códigos CNO-1994),Asalariado sector privado,Indefinido,106,Parcial,20,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 25 A 29 años,Varón,Soltero,Española,NA,NA,Primera etapa de educación secundaria,NA,NA,NA,NA,NA,NA,No,Tener que completar estudios o formación,22,NA,NA,No estaba inscrito como demandante,NA
Álava,de 25 A 29 años,Mujer,Soltero,Española,NA,NA,Educación superior,Técnicos y Profesionales de apoyo (códigos CNO-2011),Asalariado sector privado,Indefinido,58,Parcial,25,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 45 A 49 años,Varón,Casado,Española,NA,NA,Educación superior,Técnicos y Profesionales de apoyo (códigos CNO-2011),Asalariado sector privado,Indefinido,238,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 45 A 49 años,Mujer,Casado,Española,NA,NA,Educación superior,NA,NA,NA,NA,NA,NA,No,Tener responsabilidades familiares o razones personales,34,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 5 A 9 años,Mujer,NA,Española,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Álava,de 45 A 49 años,Varón,Casado,Española,NA,NA,"Segunda etapa de educación secundaria, orientación profesional","Trabajadores de servicios de restauración, personales, protección y vendedores de comercio (códigos CNO-2011)",Trabajador independiente o empresario sin asalariados ,NA,2,Completa,NA,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 45 A 49 años,Mujer,Casado,Extranjera,Sudamérica,9,Educación superior,NA,NA,NA,NA,NA,NA,Sí,NA,2,De 1 a < 3 meses,"Trabajadores de servicios de restauración, personales, protección y vendedores de comercio (códigos CNO-2011)",Estaba inscrito como demandante sin recibir subsidio o prestación por desempleo,Buscando empleo
Álava,de 55 A 59 años,Varón,Separado o divorciado,Española,NA,NA,Educación superior,Técnicos y Profesionales de apoyo (códigos CNO-2011),Asalariado sector privado,Indefinido,209,Completa,45,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 20 A 24 años,Varón,Soltero,Española,NA,NA,"Segunda etapa de educación secundaria, orientación general",NA,NA,NA,NA,NA,NA,Sí,NA,NA,NA,NA,No estaba inscrito como demandante,NA
Álava,de 55 A 59 años,Varón,Separado o divorciado,Española,NA,NA,"Segunda etapa de educación secundaria, orientación profesional","Operadores de instalaciones y maquinaria, y montadores (códigos CNO-2011)",Asalariado sector público,Indefinido,180,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 35 A 39 años,Mujer,Soltero,Española,NA,NA,Primera etapa de educación secundaria,"Trabajadores de servicios de restauración, personales, protección y vendedores de comercio (códigos CNO-2011)",Asalariado sector privado,Temporal,35,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
